CD_GEOCODI,Sum - ATACADO_MIC,Sum - ATACADO_PEQ,Sum - ATACADO_MED,Sum - ATACADO_GDE,ATACADO,Sum - VAREJO_MIC,Sum - VAREJO_PEQ,Sum - VAREJO_MED,Sum - VAREJO_GDE,VAREJO,Sum - ENSINO_MIC,Sum - ENSINO_PEQ,Sum - ENSINO_MED,Sum - ENSINO_GDE,ENSINO,Sum - FINANC_MIC,Sum - FINANC_PEQ,Sum - FINANC_MED,Sum - FINANC_GDE,FINANC,Sum - SAUDE_MIC,Sum - SAUDE_PEQ,Sum - SAUDE_MED,Sum - SAUDE_GDE,SAUDE,Sum - TRANSP_MIC,Sum - TRANSP_PEQ,Sum - TRANSP_MED,Sum - TRANSP_GDE,TRANSP
355030878000003,2895,615,18,9,3537,6717,960,63,24,7764,159,48,3,18,228,399,327,30,63,819,231,12,3,6,252,774,105,12,12,903
355030878000004,2895,615,18,9,3537,6717,960,63,24,7764,159,48,3,18,228,399,327,30,63,819,231,12,3,6,252,774,105,12,12,903
355030878000005,4825,1025,30,15,5895,11195,1600,105,40,12940,265,80,5,30,380,665,545,50,105,1365,385,20,5,10,420,1290,175,20,20,1505
355030878000006,12545,2665,78,39,15327,29107,4160,273,104,33644,689,208,13,78,988,1729,1417,130,273,3549,1001,52,13,26,1092,3354,455,52,52,3913
355030878000007,5790,1230,36,18,7074,13434,1920,126,48,15528,318,96,6,36,456,798,654,60,126,1638,462,24,6,12,504,1548,210,24,24,1806
355030878000010,965,205,6,3,1179,2239,320,21,8,2588,53,16,1,6,76,133,109,10,21,273,77,4,1,2,84,258,35,4,4,301
355030878000033,1930,410,12,6,2358,4478,640,42,16,5176,106,32,2,12,152,266,218,20,42,546,154,8,2,4,168,516,70,8,8,602
355030878000035,965,205,6,3,1179,2239,320,21,8,2588,53,16,1,6,76,133,109,10,21,273,77,4,1,2,84,258,35,4,4,301
355030879000009,112,42,2,3,159,523,124,9,4,660,24,15,2,1,42,31,16,1,0,48,44,3,0,1,48,126,24,5,4,159
355030879000013,112,42,2,3,159,523,124,9,4,660,24,15,2,1,42,31,16,1,0,48,44,3,0,1,48,126,24,5,4,159
355030879000023,224,84,4,6,318,1046,248,18,8,1320,48,30,4,2,84,62,32,2,0,96,88,6,0,2,96,252,48,10,8,318
355030879000028,448,168,8,12,636,2092,496,36,16,2640,96,60,8,4,168,124,64,4,0,192,176,12,0,4,192,504,96,20,16,636
355030880000020,94,20,3,0,117,783,157,8,6,954,64,24,3,2,93,58,32,0,0,90,277,21,1,2,301,115,15,2,1,133
355030880000021,288,126,9,9,432,1575,327,18,15,1935,123,63,9,12,207,111,48,3,0,162,357,36,6,6,405,297,69,12,3,381
355030880000026,96,42,3,3,144,525,109,6,5,645,41,21,3,4,69,37,16,1,0,54,119,12,2,2,135,99,23,4,1,127
355030880000030,96,42,3,3,144,525,109,6,5,645,41,21,3,4,69,37,16,1,0,54,119,12,2,2,135,99,23,4,1,127
355030880000037,94,20,3,0,117,783,157,8,6,954,64,24,3,2,93,58,32,0,0,90,277,21,1,2,301,115,15,2,1,133
355030880000052,96,42,3,3,144,525,109,6,5,645,41,21,3,4,69,37,16,1,0,54,119,12,2,2,135,99,23,4,1,127
355030880000055,96,42,3,3,144,525,109,6,5,645,41,21,3,4,69,37,16,1,0,54,119,12,2,2,135,99,23,4,1,127
355030880000068,188,40,6,0,234,1566,314,16,12,1908,128,48,6,4,186,116,64,0,0,180,554,42,2,4,602,230,30,4,2,266
355030880000069,282,60,9,0,351,2349,471,24,18,2862,192,72,9,6,279,174,96,0,0,270,831,63,3,6,903,345,45,6,3,399
355030880000072,846,180,27,0,1053,7047,1413,72,54,8586,576,216,27,18,837,522,288,0,0,810,2493,189,9,18,2709,1035,135,18,9,1197
355030880000073,480,210,15,15,720,2625,545,30,25,3225,205,105,15,20,345,185,80,5,0,270,595,60,10,10,675,495,115,20,5,635
355030880000081,96,42,3,3,144,525,109,6,5,645,41,21,3,4,69,37,16,1,0,54,119,12,2,2,135,99,23,4,1,127
355030880000086,46,15,1,0,62,319,42,3,1,365,38,9,0,3,50,31,7,0,0,38,153,13,0,5,171,55,12,2,2,71
355030880000094,94,20,3,0,117,783,157,8,6,954,64,24,3,2,93,58,32,0,0,90,277,21,1,2,301,115,15,2,1,133
355030880000128,96,42,3,3,144,525,109,6,5,645,41,21,3,4,69,37,16,1,0,54,119,12,2,2,135,99,23,4,1,127
355030881000090,23,2,0,0,25,261,48,7,2,318,9,13,1,0,23,15,7,0,0,22,21,1,0,2,24,49,5,0,1,55
355030881000093,23,2,0,0,25,261,48,7,2,318,9,13,1,0,23,15,7,0,0,22,21,1,0,2,24,49,5,0,1,55
355030882000005,32,3,1,0,36,234,45,2,0,281,18,9,2,1,30,12,8,0,0,20,33,4,0,1,38,41,2,0,1,44
355030882000048,24,7,0,0,31,388,83,6,3,480,25,15,2,2,44,27,12,0,0,39,51,5,0,1,57,47,5,1,0,53
355030882000126,24,7,0,0,31,388,83,6,3,480,25,15,2,2,44,27,12,0,0,39,51,5,0,1,57,47,5,1,0,53
355030883000024,308,33,11,0,352,2464,605,22,55,3146,231,165,22,22,440,220,99,11,0,330,495,22,33,22,572,473,55,11,22,561
355030883000193,28,3,1,0,32,224,55,2,5,286,21,15,2,2,40,20,9,1,0,30,45,2,3,2,52,43,5,1,2,51
355030884000107,28,4,0,0,32,302,40,0,2,344,8,8,0,0,16,4,2,0,0,6,4,0,0,0,4,24,6,0,0,30
355030884000142,15,3,1,0,19,202,39,4,6,251,10,10,0,0,20,5,0,0,0,5,10,0,0,0,10,14,3,0,0,17
