Cod_setor;Situacao_setor;V001;V002;V003
355030803000019;1;19;0;0
355030803000020;1;80;0;0
355030803000021;1;149;0;0
355030803000022;1;82;0;0
355030803000023;1;99;0;0
355030803000024;1;164;0;0
355030803000025;1;140;0;0
355030803000026;1;163;0;0
355030803000027;1;16;0;0
355030803000028;1;98;0;0
355030803000029;1;56;0;0
355030803000030;1;284;0;0
355030803000031;1;135;0;0
355030803000032;1;247;0;1
355030803000033;1;224;0;0
355030803000034;8;1;X;X
355030803000035;1;141;0;0
355030803000036;1;321;0;0
355030803000037;1;143;0;0
355030803000038;1;235;0;0
355030803000039;1;163;0;0
355030803000040;1;175;0;0
355030803000041;1;174;0;0
355030803000042;8;112;0;0
355030803000043;8;3;X;X
355030803000044;8;2;X;X
355030803000045;8;11;0;0
355030803000046;8;19;0;0
355030803000047;8;57;0;0
355030803000048;8;85;0;0
355030803000049;8;4;0;0
355030803000050;8;4;0;0
355030803000051;1;37;0;0
355030803000052;1;62;0;0
355030803000053;1;97;0;0
355030803000054;1;137;0;0
355030803000055;1;418;0;0
355030803000056;2;30;0;0
355030803000057;4;173;0;0
355030803000058;1;53;0;0
355030803000059;4;36;0;0
355030803000060;1;85;0;0
355030803000061;4;318;0;0
355030803000066;8;11;0;0
355030803000067;8;97;0;0
355030803000070;2;21;0;0
355030803000071;2;2;X;X
355030803000073;2;19;0;0
355030803000074;8;32;0;0
355030803000076;1;166;0;1
355030803000077;1;428;0;0
355030803000078;4;54;0;0
355030803000079;1;311;0;0
355030803000080;1;111;0;0
355030803000082;2;22;0;0
355030803000083;8;39;0;0
355030803000084;8;11;0;0
355030803000085;2;5;X;X
355030803000086;2;21;0;0
355030803000087;8;4;0;0
355030803000088;8;3;0;0
355030803000089;2;3;0;0
355030803000090;1;18;0;0
355030803000091;2;98;0;0
355030803000093;8;0;X;X
355030803000094;1;158;0;0
355030803000095;2;5;0;0
355030803000096;2;39;0;0
355030803000097;8;2;0;0
355030803000098;8;1;X;X
355030803000100;8;5;0;0
355030803000101;3;197;0;0
355030803000102;2;25;0;0
355030803000103;2;14;0;0
355030803000104;2;5;0;0
355030803000105;1;208;0;0
355030803000106;8;0;X;X
355030803000107;8;33;0;0
355030803000111;1;194;0;0
355030803000112;1;92;0;0
355030803000113;1;42;0;0
355030803000114;1;247;1;0
355030803000115;1;223;0;0
355030803000116;1;95;0;0
355030803000117;1;102;0;0
355030803000118;1;36;0;0
355030803000119;1;120;1;0
355030803000120;1;153;0;0
355030803000121;1;257;0;0
355030804000001;1;82;0;0
355030804000002;1;69;0;0
355030804000003;1;94;0;0
355030804000004;1;107;0;0
355030804000005;1;194;0;0
355030804000006;1;112;0;0
355030804000007;1;45;0;0
355030804000008;1;111;0;0
355030804000009;1;139;0;0
355030804000010;1;107;0;0
355030804000011;1;127;0;0
355030804000012;1;100;0;0
355030804000013;1;89;0;0
355030804000014;1;106;0;0
355030804000015;1;89;0;0
355030804000016;1;43;0;0
355030804000017;1;82;0;0
355030804000018;1;80;0;0
355030804000019;1;200;0;1
355030804000020;1;153;0;0
355030804000021;1;157;0;0
355030804000022;1;119;0;0
355030804000023;1;91;0;0
355030804000024;1;90;0;0
355030804000025;1;165;0;0
355030804000026;1;119;0;0
355030804000027;1;91;0;0
355030804000028;1;107;0;0
355030804000029;1;96;0;0
355030804000030;1;111;0;0
355030804000031;1;131;0;0
355030804000032;1;94;0;0
355030804000033;1;73;0;0
355030804000034;1;52;0;0
355030804000035;1;120;0;0
355030804000036;1;123;0;0
355030804000037;1;246;0;0
355030804000038;1;106;0;0
355030804000039;1;80;0;0
355030804000040;1;31;0;0
355030804000041;1;87;0;0
355030804000042;1;91;0;0
355030804000043;1;47;0;0
355030804000044;1;42;0;0
355030804000045;1;39;0;0
355030804000046;1;94;0;0
355030804000047;1;51;0;0
355030804000048;1;56;0;0
355030804000049;1;76;0;0
355030804000050;1;88;0;0
355030804000051;1;77;0;0
355030804000052;1;108;0;0
355030804000053;1;48;0;0
355030804000054;1;129;0;0
355030804000055;1;105;0;0
355030804000056;1;51;0;0
355030804000057;1;74;0;0
355030804000059;1;116;0;0
355030804000060;1;151;0;0
355030804000061;1;65;0;0
355030804000062;1;141;0;0
355030804000063;1;74;0;0
355030804000064;1;62;0;0
355030804000065;1;67;0;0
355030804000066;1;75;0;0
355030804000067;1;50;0;0
355030804000068;1;90;0;0
355030804000069;1;70;0;0
355030804000070;1;74;0;0
355030804000071;1;103;0;0
355030804000072;1;64;1;0
355030804000073;1;69;0;0
355030804000074;1;57;0;0
355030804000075;1;89;0;0
355030804000076;1;81;0;0
355030804000077;1;88;0;0
355030804000078;1;128;0;0
355030804000079;1;58;0;0
355030804000080;1;88;0;0
355030804000081;1;105;0;0
355030804000082;1;110;0;0
355030804000083;1;68;0;0
355030804000084;1;110;0;0
355030804000085;1;64;0;0
355030804000086;1;105;1;0
355030804000087;1;67;0;0
355030804000088;1;124;0;0
355030804000089;1;46;0;0
355030804000090;1;141;0;0
355030804000091;1;104;0;1
355030804000092;1;70;0;0
355030804000093;1;109;1;0
355030804000094;1;102;0;0
355030804000095;1;97;0;0
355030804000096;1;203;0;0
355030804000097;1;131;0;0
355030804000098;1;82;0;0
355030804000099;1;84;0;0
355030804000100;1;139;0;0
355030804000101;1;92;0;0
355030804000102;1;137;0;0
355030804000103;1;83;0;0
355030804000104;1;196;0;0
355030804000105;1;109;0;0
355030804000106;1;147;0;0
355030804000107;1;153;0;0
355030804000108;1;165;0;0
355030804000109;1;25;0;0
355030804000110;1;87;0;0
355030804000111;1;132;0;0
355030804000112;1;123;0;0
355030804000113;1;114;0;0
355030804000114;1;47;0;0
355030804000115;1;76;0;0
355030804000116;1;81;0;0
355030804000117;1;102;0;0
355030804000118;1;99;0;0
355030804000119;1;59;0;0
355030804000120;1;86;0;0
355030804000121;1;51;0;0
355030804000122;1;79;0;0
355030804000123;1;80;0;0
355030804000124;1;94;0;0
355030804000125;1;5;0;0
355030805000001;1;119;0;0
355030805000002;1;95;0;0
355030805000003;1;57;0;0
355030805000004;1;45;0;0
355030805000005;1;84;0;0
355030805000006;1;112;0;0
355030805000007;1;163;0;0
355030805000008;1;48;0;0
355030805000009;1;33;0;0
355030805000010;1;143;0;0
355030805000011;1;105;0;0
355030805000012;1;98;1;0
355030805000013;1;48;0;0
355030805000014;1;96;0;0
355030805000015;1;92;0;0
355030805000016;1;55;0;0
355030805000017;1;65;0;1
355030805000018;1;108;0;0
355030805000019;1;111;0;0
355030805000020;1;48;0;0
355030805000021;1;78;0;0
355030805000022;1;119;0;0
355030805000023;1;164;0;0
355030805000024;1;86;0;0
355030805000025;1;51;1;0
355030805000026;1;98;0;0
355030805000027;1;122;0;0
355030805000028;1;93;0;0
355030805000029;1;96;0;0
355030805000030;1;68;0;0
355030805000031;1;43;0;0
355030805000032;1;99;0;0
355030805000033;1;83;0;0
355030805000034;1;93;0;0
355030805000035;1;117;0;0
355030805000036;1;74;0;0
355030805000037;1;82;0;0
355030805000038;1;50;0;0
355030805000039;1;71;0;0
355030805000040;1;73;0;0
355030805000041;1;38;0;0
355030805000042;1;75;0;0
355030805000043;1;82;0;0
355030805000044;1;117;0;0
355030805000045;1;112;0;1
355030805000046;1;78;0;0
355030805000047;1;55;0;0
355030805000048;1;57;0;0
355030805000049;1;65;0;0
355030805000050;1;47;0;0
355030805000051;1;160;0;0
355030805000052;1;81;0;0
355030805000053;1;52;0;0
355030805000054;1;64;0;0
355030805000055;1;53;0;0
355030805000056;1;64;0;0
355030805000057;1;124;0;0
