Cod_setor,Situacao_setor,V022,5a15salarios,15oumais
355030802000054,1,1061385,401280,542300
355030802000055,1,1380174,557080,636201
355030802000056,1,1206890,447100,562700
355030802000057,1,1359291,479035,754937
355030802000058,1,2393200,526950,1759600
355030802000059,1,945242,346876,469200
355030802000060,1,1875404,166200,1674549
355030802000061,1,2047495,158600,1836150
355030802000062,1,1104907,120000,924702
355030802000063,1,628373,310092,269100
355030802000064,1,1102940,393960,490800
355030802000065,1,926718,234471,613200
355030802000066,1,474506,155100,184700
355030802000067,1,2177020,165600,2004800
355030802000068,1,970637,259200,558030
355030802000069,1,1375159,93100,1263200
355030802000070,1,1241605,90500,1122350
355030802000071,1,723209,211400,448300
355030802000072,1,1359037,286100,1017821
355030802000073,1,2085550,49500,2019500
355030802000074,1,1696455,83000,1611700
355030802000075,1,1361060,383900,908500
355030802000076,1,1488350,238800,1186800
355030802000077,1,919079,391379,473800
355030802000078,1,371010,97700,188000
355030802000079,1,183490,66500,89402
355030803000001,1,287138,45800,18000
355030803000002,1,180599,15400,0
355030803000003,1,208115,35900,0
355030803000004,1,193308,41100,0
355030803000005,1,437571,25550,0
355030803000006,1,269839,37500,0
355030803000007,1,611313,83700,19000
355030803000008,1,295323,66664,13000
355030803000009,1,292570,53600,0
355030803000010,1,375410,65300,0
355030803000011,1,429197,51100,0
355030803000012,1,351588,89650,0
355030803000013,1,232002,38500,25000
355030803000014,1,344505,86200,37000
355030803000015,1,268835,73800,0
355030803000016,1,227755,68950,0
355030803000017,1,451636,145800,28000
355030803000018,1,332511,80190,16000
355030803000019,1,45903,2600,10000
355030803000020,1,145950,20600,0
355030803000021,1,160124,17400,0
355030803000022,1,170020,24000,0
355030803000023,1,245585,58700,17000
355030803000024,1,255657,34600,0
355030803000025,1,568617,224265,56000
355030803000026,1,545155,224450,49600
355030803000027,1,62230,19000,21500
355030803000028,1,136410,8000,0
355030803000029,1,69869,11233,0
355030803000030,1,500984,34500,0
355030803000031,1,203985,18500,0
355030803000032,1,306752,15700,0
355030803000033,1,266449,13100,0
355030803000034,8,,0,0
355030803000035,1,234342,46000,0
355030803000036,1,519576,65500,0
355030803000037,1,305969,41500,0
355030803000038,1,455800,69100,0
355030803000039,1,176877,12600,0
355030803000040,1,326334,14990,0
355030803000041,1,281435,36200,0
355030803000042,8,95620,3000,0
355030803000043,8,,0,0
355030803000044,8,,0,0
355030803000045,8,20215,5000,0
355030803000046,8,25715,0,0
355030803000047,8,87087,8800,0
355030803000048,8,64322,0,0
355030803000049,8,9930,0,0
355030803000050,8,13760,0,0
355030803000051,1,79803,4000,0
355030803000052,1,137911,25500,0
355030803000053,1,205003,9000,23000
355030803000054,1,236477,25500,0
355030803000055,1,555557,52900,0
355030803000056,2,38104,0,0
355030803000057,4,228555,41000,0
355030803000058,1,70568,0,0
355030803000059,4,51540,3000,0
355030803000060,1,94555,0,0
355030803000061,4,330925,7000,0
355030803000066,8,6520,0,0
355030803000067,8,48730,0,0
355030803000070,2,17755,0,0
355030803000071,2,,0,0
355030803000073,2,82980,26500,18200
355030803000074,8,23310,2800,0
355030803000076,1,443241,107200,20000
355030803000077,1,560947,23800,17000
355030803000078,4,59231,4500,0
355030803000079,1,416363,38100,0
355030803000080,1,154556,3000,11000
355030803000082,2,30765,6500,0
355030803000083,8,69609,0,0
355030803000084,8,18810,0,0
355030803000085,2,,0,0
355030803000086,2,24307,0,0
355030803000087,8,11710,0,0
355030803000088,8,10470,0,0
355030803000089,2,3200,0,0
355030803000090,1,15830,0,0
355030803000091,2,110960,22700,0
355030803000093,8,,0,0
355030803000094,1,288703,33400,0
355030803000095,2,20500,8000,0
355030803000096,2,60217,5000,0
355030803000097,8,7635,0,0
355030803000098,8,,0,0
355030803000100,8,12810,0,0
355030803000101,3,402918,88200,0
355030803000102,2,125370,52000,52000
355030803000103,2,17310,3000,0
355030803000104,2,6240,0,0
355030803000105,1,317851,35700,0
355030803000106,8,,0,0
355030803000107,8,21480,0,0
355030803000111,1,237359,21500,0
355030803000112,1,69591,0,18000
355030803000113,1,56224,7400,0
355030803000114,1,660381,301900,91300
355030803000115,1,201783,0,0
355030803000116,1,66197,0,0
355030803000117,1,80244,3000,0
355030803000118,1,41390,0,0
355030803000119,1,155741,0,0
355030803000120,1,88102,2800,0
355030803000121,1,246973,19800,8000
355030804000001,1,95470,0,0
355030804000002,1,226660,68100,30000
355030804000003,1,240150,60800,0
355030804000004,1,184475,27500,0
355030804000005,1,504203,174002,31000
355030804000006,1,57356,0,0
355030804000007,1,268996,90500,35200
355030804000008,1,262217,69600,0
355030804000009,1,83733,3000,0
355030804000010,1,164828,29900,0
355030804000011,1,347840,61800,0
355030804000012,1,390305,143200,58000
355030804000013,1,430836,116000,83000
355030804000014,1,492312,194700,40000
355030804000015,1,395174,136500,77000
355030804000016,1,272930,106100,19000
355030804000017,1,224101,63805,8000
355030804000018,1,213064,42200,0
355030804000019,1,175240,0,0
355030804000020,1,311130,42900,13000
355030804000021,1,445892,206900,19500
355030804000022,1,469791,180600,39000
355030804000023,1,524681,216760,44000
355030804000024,1,285084,82700,18500
355030804000025,1,1000737,530300,206300
355030804000026,1,419652,157900,37000
355030804000027,1,539311,245400,99000
355030804000028,1,732580,333408,130200
355030804000029,1,387795,87000,40000
355030804000030,1,522372,174757,71000
355030804000031,1,290367,54800,8000
355030804000032,1,241753,50300,0
355030804000033,1,240813,82350,0
355030804000034,1,249130,91900,25000
355030804000035,1,364660,106100,0
355030804000036,1,228350,54000,0
355030804000037,1,165959,7400,0
355030804000038,1,254089,69600,0
355030804000039,1,323248,108500,38000
355030804000040,1,124105,40900,0
355030804000041,1,729746,281400,223000
355030804000042,1,592794,290700,64200
355030804000043,1,255534,94551,65000
355030804000044,1,158450,42200,0
355030804000045,1,239132,66300,19000
355030804000046,1,293975,101170,0
355030804000047,1,182548,67900,9000
355030804000048,1,318438,100500,62000
355030804000049,1,357360,129130,70000
355030804000050,1,485440,150200,54500
355030804000051,1,411316,151800,26000
355030804000052,1,450722,137840,47900
355030804000053,1,91970,17700,10000
355030804000054,1,350138,99806,18000
355030804000055,1,266273,56300,18000
355030804000056,1,165500,22200,0
355030804000057,1,247967,52400,8000
355030804000059,1,183262,17700,0
355030804000060,1,314195,52500,7800
355030804000061,1,114140,4000,0
355030804000062,1,2103200,1082850,805300
355030804000063,1,310725,108800,28000
355030804000064,1,511610,238500,112000
355030804000065,1,139290,40066,10300
355030804000066,1,249044,49431,9100
355030804000067,1,213045,106400,0
355030804000068,1,193882,36000,8000
355030804000069,1,303457,103500,29000
355030804000070,1,390394,171800,17000
355030804000071,1,366159,139300,42000
355030804000072,1,126122,18840,0
355030804000073,1,177395,55700,8000
355030804000074,1,148532,33300,20000
355030804000075,1,143140,40400,0
355030804000076,1,240590,77900,0
355030804000077,1,200035,55100,0
355030804000078,1,382130,75200,10000
355030804000079,1,239051,38600,25000
355030804000080,1,237530,44240,0
355030804000081,1,214672,60680,0
355030804000082,1,361628,28720,107000
355030804000083,1,166205,23500,0
355030804000084,1,355093,135000,22000
355030804000085,1,268262,138800,8000
355030804000086,1,823383,412651,246800
355030804000087,1,115980,18500,20000
355030804000088,1,371772,104700,24000
355030804000089,1,188294,39250,20000
355030804000090,1,296251,65410,8000
355030804000091,1,194119,42000,0
355030804000092,1,291480,86010,10000
355030804000093,1,102420,22000,0
355030804000094,1,78258,12754,0
355030804000095,1,235516,58860,0
355030804000096,1,144784,19600,0
355030804000097,1,202942,25900,0
355030804000098,1,167131,21500,0
355030804000099,1,317597,91371,21000
355030804000100,1,158198,25300,0
355030804000101,1,245107,27500,20000
355030804000102,1,184981,8750,0
355030804000103,1,334181,143556,10201
355030804000104,1,380549,80179,0
355030804000105,1,133068,10300,8600
355030804000106,1,345617,54700,8600
355030804000107,1,319197,49810,0
355030804000108,1,292379,64700,0
355030804000109,1,83910,14100,20000
355030804000110,1,172939,43200,0
355030804000111,1,590583,207443,13000
355030804000112,1,528366,219850,34000
355030804000113,1,287888,59430,0
355030804000114,1,257320,70800,18000
355030804000115,1,134725,5500,19000
355030804000116,1,192020,45800,10000
355030804000117,1,205361,28960,8000
355030804000118,1,354385,75100,62000
355030804000119,1,155083,32565,0
355030804000120,1,247771,85830,0
355030804000121,1,42573,8164,0
355030804000122,1,296025,89800,0
355030804000123,1,224821,38226,0
355030804000124,1,451160,269270,0
355030804000125,1,15920,0,0
355030805000001,1,265818,76800,9000
355030805000002,1,265300,78800,10500
355030805000003,1,214883,69076,10000
355030805000004,1,91530,27200,0
355030805000005,1,139293,24100,0
355030805000006,1,311852,64100,50050
355030805000007,1,426574,81700,18000
355030805000008,1,231690,68100,0
355030805000009,1,102882,24900,8000
355030805000010,1,123677,7880,0
355030805000011,1,199703,41500,46000
355030805000012,1,133290,17800,17000
355030805000013,1,143961,50400,0
355030805000014,1,276773,54200,16000
355030805000015,1,357446,96800,0
355030805000016,1,227565,63200,10000
355030805000017,1,192252,63400,0
355030805000018,1,402118,161950,8000
355030805000019,1,422446,151292,57200
355030805000020,1,331706,146900,60000
355030805000021,1,250143,59060,8000
355030805000022,1,381580,95900,9000
355030805000023,1,303227,87774,16000
355030805000024,1,255123,87370,0
355030805000025,1,198151,67900,0
355030805000026,1,343754,104956,39800
355030805000027,1,453839,110400,16000
355030805000028,1,301698,83625,0
355030805000029,1,387940,116800,0
355030805000030,1,393625,157300,0
355030805000031,1,230730,66110,0
355030805000032,1,277488,62100,7800
355030805000033,1,281508,100098,0
355030805000034,1,389930,108500,0
355030805000035,1,424421,94930,34200
355030805000036,1,297443,77600,28000
355030805000037,1,244650,61800,18500
355030805000038,1,248380,94300,20000
355030805000039,1,240457,36300,21500
355030805000040,1,212695,55700,0
355030805000041,1,132851,25600,0
355030805000042,1,172198,15700,12000
355030805000043,1,200355,31100,9000
355030805000044,1,267942,29500,18000
355030805000045,1,246060,36900,8000
355030805000046,1,251789,62740,0
355030805000047,1,229743,62751,11500
355030805000048,1,187093,63060,0
355030805000049,1,273295,76400,9000
355030805000050,1,196991,61990,10000
355030805000051,1,538830,165775,8000
355030805000052,1,342951,106074,0
355030805000053,1,242879,77650,12000
355030805000054,1,272255,81300,0
355030805000055,1,272173,87530,0
355030805000056,1,305855,59800,9000
355030805000057,1,331319,80590,10000
355030805000058,1,388807,130060,25000
355030805000059,1,102387,8700,8000
355030805000060,1,324702,108200,16000
355030805000061,1,332955,103132,0
355030805000062,1,338878,120100,20000
355030805000063,1,541158,169000,69000
355030805000064,1,182125,33900,0
355030805000065,1,253980,68700,0
355030805000066,1,264340,95100,22000
355030805000067,1,146412,34100,10000
355030805000068,1,218445,28000,0
355030805000069,1,383397,69300,8200
355030805000070,1,294742,97100,18000
355030805000071,1,26220,0,0
355030805000072,1,418153,156400,12000
355030805000073,1,334557,73138,0
355030805000074,1,405010,86700,0
355030805000075,1,565252,199450,17000
355030805000076,1,417111,85900,0
355030805000077,1,298018,57500,0
355030805000078,1,271377,60740,0
355030805000079,1,303295,73714,8000
355030805000080,1,168234,24600,0
355030805000081,1,394987,97500,0
355030805000082,1,198850,19000,0
355030805000083,1,259198,50200,31000
355030805000084,1,319711,119600,44500
355030805000085,1,371076,118100,8000
355030805000086,1,380702,179983,29200
355030805000087,1,174932,38900,0
355030805000088,1,341420,88900,27500
355030805000089,1,433883,150425,37100
355030805000090,1,172261,54500,0
355030805000091,1,333301,36900,0
355030805000092,1,426925,135850,0
355030805000093,1,392216,112113,0
355030805000094,1,370820,150950,0
355030805000095,1,468284,125231,32000
355030805000096,1,226397,27260,0
355030805000097,1,269769,69350,0
355030805000098,1,172571,0,0
355030805000099,1,223089,32000,0
355030805000100,1,313067,51100,0
355030805000101,1,112257,5800,0
355030805000102,1,342992,14000,0
355030805000103,1,338231,15100,0
355030805000104,1,191290,20200,0
355030805000105,1,146261,6000,0
355030805000106,1,143833,11000,8000
355030805000107,1,206283,28000,0
